Comment,Designator,Footprint,LCSC
B-2100S08P-A110,"J1,J2",PinHeader_1x08_P2.54mm_Vertical,C124381
HF1004E,"CN1,CN2",FanPinHeader_1x04_P2.54mm_Vertical,C2761402
PZ200V-11-03P,"J3,J4",PinHeader_1x03_P2.00mm_Vertical,C541857
